"MuseumCode","Barcode","Collectors","AdditionalCollectors","FieldNumber","Date","CalcFullName","LocalityNotes","Latitude","Longitude","LLResolution","QDS","LLChecked","DescriptionText"
"NH","NH0036401-0","Acocks, JPH","","11446","4/19/1945","Elaphoglossum acrostichoides (Hook. & Grev.) Schelpe","Draycott Hill, Weenen City.","-28.9969137400","29.7068321100","2k","2829DC","True",""
"PRE","PRE0161044-0","Acocks, JPH","Hafstrom, AHF","H804","10/8/1936","Aptosimum elongatum (Hiern) Engl.","PNIEL","-33.8945923100","18.9622120300","2k","3318DD","True",""
"PRE","PRE0200249-0","Acocks, JPH","","14037","3/4/1948","Othonna carnosa Less. var. carnosa","ALBANY DIV.; 29 MI. WSW. OF GRAHAMSTOWN","-33.4894550000","26.1753000000","2k","3326AC","True",""
"PRE","PRE0390271-0","Acocks, JPH","","15716","3/19/1950","Lotononis tenella (E.Mey.) Eckl. & Zeyh.","FORT BEAUFORT DIV; KROOMIE STA.; 2 MI. E. OF KROOMIE STA.","-32.7772419300","26.4571517200","1000m","3226CD","True",""
"PRE","PRE0510558-0","Acocks, JPH","","13312","2/21/1947","Aneilema dregeanum Kunth","Port Shepstone District: Near Mehlomnyama.","-30.6130809900","30.3437732600","2k","3030CB","True",""
"PRE","PRE0247331-0","Acocks, JPH","","8878","1/20/1942","Phyllanthus parvulus Sond. var. parvulus","WATERBERG DIST.; TOWOOMBA","-29.0348448500","29.6446230900","2k","2929BA","True",""
"PRE","PRE0255604-0","Acocks, JPH","","9521","12/26/1942","Adenocline sp.","STUTTERHEIM DIST.; KOLOGHA","-32.5360860000","27.3778110000","2k","3227CB","True",""
"PRE","PRE0343791-0","Acocks, JPH","","9732","4/1/1943","Schizoglossum atropurpureum subsp. tridentatum (Schltr.) Kupicha","STUTTERHEIM DIV.; DOHNE","-32.5222973400","27.4528021000","2k","3227CB","True",""
"NH","NH0034521-0","Acocks, JPH","","9868","11/9/1943","Eriosema cordatum E.Mey.","Estcourt P.R.Station","-29.0235218800","29.8651008900","2k","2929BB","True",""
"PRE","PRE0184732-0","Acocks, JPH","","18053","5/2/1955","Pegolettia senegalensis Cass.","AROAB DIST.; 4.5 MI. W. OF AROAB","-26.7846080000","19.5953990000","2k","2619DC","True",""
"PRE","PRE0403589-0","Acocks, JPH","","1906","3/9/1937","Pharnaceum viride Adamson","HERBERT DIST.; MAZELSFONTEIN; SLOPE BELOW THE KAAP PLATEAU","-29.0668590000","23.5740700000","2k","2923BA","True",""
"NH","NH0036408-0","Acocks, JPH","","11459","4/26/1945","Cheilanthes multifida (Sw.) Sw.","Tabamhlophe. (Table Mountain)","-29.1219455700","29.6492199700","2k","2929BA","True","Frequent"
